iter	Passed	Remaining
0	1076	5380206
1	1982	4953726
2	2565	4273135
3	3097	3868160
4	3906	3902948
5	5038	4193806
6	5626	4013346
7	6185	3859731
8	6815	3779639
9	7843	3913844
10	8889	4031744
11	9399	3907021
12	10071	3863773
13	10910	3885800
14	11927	3963834
15	12550	3909627
16	13088	3836507
17	13701	3792235
18	14553	3815443
19	15266	3801314
20	16147	3828412
21	16245	3675802
22	16713	3616740
23	17304	3587773
24	18035	3588979
25	19090	3652108
26	19758	3639287
27	19906	3534822
28	20501	3514268
29	21166	3506656
30	21886	3508211
31	23033	3575938
32	23602	3552511
33	24185	3532468
34	24826	3521877
35	25801	3557689
36	26516	3556856
37	26989	3524312
38	27518	3500480
39	28279	3506601
40	28910	3496790
41	30090	3552166
42	30584	3525735
43	31206	3514953
44	31947	3517742
45	33065	3561002
46	33695	3550906
47	34238	3532296
48	34780	3514210
49	35558	3520284
50	36606	3552266
51	36935	3514565
52	37516	3501754
53	38020	3482364
54	38251	3439167
55	39160	3457310
56	40259	3491286
57	40765	3473524
58	41336	3461717
59	41949	3453805
60	43009	3482359
61	43862	3493459
62	44389	3478616
63	44910	3463725
64	45868	3482505
65	46895	3505781
66	47454	3493905
67	47931	3476457
68	48527	3467973
69	49290	3471459
70	50232	3487288
71	51019	3492035
72	51538	3478520
73	52162	3472326
74	52922	3475263
75	54177	3510131
76	54627	3492601
77	55204	3483525
78	55871	3480281
79	56807	3493654
80	57690	3503459
81	58218	3491703
82	58824	3484810
83	59714	3494740
84	60808	3516147
85	61431	3510153
86	61920	3496738
87	62611	3494877
88	63397	3498253
89	64506	3519165
90	64997	3506275
91	65583	3498749
92	66204	3493196
93	67129	3503576
94	68029	3512450
95	68546	3501572
96	69049	3490200
97	69735	3488222
98	70680	3499043
99	71663	3511526
100	72179	3501057
101	72821	3496852
102	73551	3496916
103	73893	3478676
104	74929	3493164
105	75403	3481385
106	76161	3482791
107	77188	3496361
108	78206	3509237
109	78789	3502529
110	79425	3498315
111	80379	3507983
112	81505	3524953
113	82182	3522327
114	82740	3514688
115	83525	3516706
116	84533	3528022
117	85428	3534430
118	85957	3525718
119	86603	3521872
120	87485	3527628
121	88608	3542876
122	89067	3531558
123	89603	3523433
124	90262	3520225
125	90571	3503517
126	91662	3517116
127	92494	3520579
128	93008	3511984
129	93628	3507452
130	94423	3509516
131	95323	3515423
132	96084	3516127
133	96587	3507433
134	97216	3503385
135	98010	3505305
136	98943	3512118
137	99698	3512572
138	100213	3504604
139	100976	3505315
140	101930	3512622
141	102868	3519245
142	103342	3510020
143	103946	3505295
144	105025	3516558
145	106061	3526170
146	106893	3528934
147	107381	3520368
148	108107	3519659
149	109125	3528398
150	110013	3532813
151	110537	3525569
152	111174	3521971
153	111900	3521247
154	112937	3530206
155	113571	3526548
156	114096	3519554
157	114674	3514268
158	115523	3517290
159	116602	3527227
160	117118	3520104
161	117659	3513800
162	118286	3510136
163	119312	3518269
164	120175	3521497
165	120671	3514007
166	121218	3508070
167	122143	3513077
168	123230	3522636
169	123733	3515498
170	124297	3510122
171	124973	3507980
172	125914	3513223
173	126834	3517823
174	127320	3510398
175	127846	3504148
176	128582	3503704
177	129622	3511468
178	130433	3512949
179	130912	3505539
180	131423	3499061
181	131947	3492994
182	132462	3486741
183	133256	3487849
184	134436	3498987
185	135025	3494703
186	135537	3488450
187	136200	3486142
188	136962	3486387
189	138108	3496320
190	138629	3490407
191	138724	3473904
192	139223	3467599
193	139841	3464315
194	140565	3463684
195	141629	3471361
196	142253	3468245
197	142774	3462643
198	143438	3460532
199	144514	3468343
200	145387	3471221
201	145833	3463910
202	146425	3460118
203	147337	3463874
204	148417	3471522
205	148908	3465368
206	149516	3461983
207	150250	3461531
208	151177	3465512
209	152033	3467818
210	152487	3460950
211	153146	3458806
212	154048	3462116
213	155123	3469264
214	155590	3462793
215	156136	3458126
216	156844	3457078
217	157871	3463030
218	158678	3464122
219	159208	3459157
220	159808	3455766
221	160721	3459124
222	161882	3467768
223	162407	3462752
224	162887	3456836
225	163590	3455662
226	164581	3460551
227	165417	3462154
228	165857	3455492
229	166442	3451871
230	167170	3451240
231	168213	3457085
232	168832	3454191
233	168905	3440185
234	169437	3435613
235	170101	3433744
236	171016	3436923
237	172002	3441495
238	172444	3435189
239	172977	3430729
240	173567	3427409
241	174332	3427582
242	175410	3433858
243	175971	3430002
244	176455	3424677
245	177260	3425589
246	178382	3432593
247	179116	3432096
248	179565	3426172
249	180145	3422757
250	180922	3423116
251	181940	3427992
252	182635	3426765
253	183146	3422094
254	183768	3419527
255	184752	3423697
256	185799	3428969
257	186240	3423065
258	186775	3418937
259	187405	3416549
260	188337	3419669
261	189257	3422518
262	189787	3418346
263	190355	3414862
264	191252	3417290
265	192324	3422798
266	192932	3420040
267	193445	3415616
268	193971	3411442
269	194835	3413227
270	195843	3417502
